City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,verkhnevilyuysk,63.4453,120.3167,-17.87,95,66,2.81,RU,1667517031
132,contamana,-7.3333,-75.0167,24.76,51,26,1.27,PE,1667517031
133,ewa beach,21.3156,-158.0072,30.97,58,40,6.17,US,1667517032
134,torbay,47.6666,-52.7314,3.75,62,84,2.68,CA,1667517032
135,say,13.1007,2.3689,27.98,26,16,3.67,NE,1667517033
136,rosetta,31.4044,30.4164,20.3,62,0,1.79,EG,1667517034
137,vuktyl,63.8567,57.3094,-7.44,96,85,0.98,RU,1667517034
138,lorengau,-2.0226,147.2712,29.69,66,58,0.64,PG,1667517035
139,pevek,69.7008,170.3133,-26.36,98,39,1.94,RU,1667517035
140,port elizabeth,-33.918,25.5701,19.5,89,73,5.1,ZA,1667516833
141,provideniya,64.3833,-173.3,-8.49,69,98,2.33,RU,1667517036
142,airai,-8.9266,125.4092,19.55,80,99,0.94,TL,1667517037
143,bengkulu,-3.8004,102.2655,24.4,89,100,2.38,ID,1667516791
144,mendi,-6.1761,143.6513,19.45,54,72,0.48,PG,1667516556
145,nesna,66.1967,13.0213,8.7,81,84,7.03,NO,1667517038
146,ryotsu,38.0833,138.4333,8.63,80,100,0.85,JP,1667517039
147,palmer,42.1584,-72.3287,14.48,68,0,3.6,US,1667517040
148,mount gambier,-37.8333,140.7667,12.26,75,98,1.07,AU,1667517040
149,pitimbu,-7.4706,-34.8086,26.33,77,11,6.38,BR,1667517041
150,olinda,-8.0089,-34.8553,25.91,77,8,5.69,BR,1667516512
151,huangmei,30.1924,116.025,13.38,64,21,4.61,CN,1667517042
152,tiksi,71.6872,128.8694,-19.71,99,91,3.12,RU,1667517042
153,dudinka,69.4058,86.1778,-8.54,89,100,8.42,RU,1667517043
154,yerbogachen,61.2767,108.0108,-19.56,99,19,1.61,RU,1667517043
155,awbari,26.5921,12.7805,17.08,43,32,1.48,LY,1667517044
156,iskateley,67.6803,53.1512,-8.31,88,67,2.9,RU,1667517044
157,adrar,20.5022,-10.0711,23.34,12,0,4.6,MR,1667517045
158,novoagansk,61.9449,76.6625,-2.48,98,97,1.99,RU,1667517045
159,kiboga,0.9161,31.7742,16.56,98,100,0.57,UG,1667517045
160,binga,-17.6203,27.3414,24.18,65,5,0.8,ZW,1667517046
161,narsaq,60.9167,-46.05,5.12,58,100,7.63,GL,1667517046
162,stornoway,58.2093,-6.3865,5.02,89,75,1.54,GB,1667517046
163,nanuque,-17.8392,-40.3539,17.26,89,100,7.16,BR,1667517047
164,salta,-24.7859,-65.4117,16.14,23,0,1.5,AR,1667517047
165,asyut,27.181,31.1837,19.01,55,23,2.53,EG,1667517048
166,nouadhibou,20.931,-17.0347,22.94,59,0,6.1,MR,1667517048
167,robertsport,6.7533,-11.3686,26.58,82,90,2.38,LR,1667517048
168,boa vista,2.8197,-60.6733,22.99,83,75,5.66,BR,1667516912
169,itoman,26.1247,127.6694,24.21,83,75,7.72,JP,1667517049
170,walvis bay,-22.9575,14.5053,15.05,87,1,1.15,NA,1667517050
171,northam,51.0333,-4.2167,8.47,96,92,3.42,GB,1667517050
172,isangel,-19.55,169.2667,28.45,66,4,2.85,VU,1667517051
173,souillac,-20.5167,57.5167,22.16,83,54,3.2,MU,1667517051
174,kavaratti,10.5669,72.642,27.68,74,71,2.87,IN,1667517051
175,saskylakh,71.9167,114.0833,-10.38,96,100,2.37,RU,1667517052
176,constitucion,-35.3333,-72.4167,11.73,85,36,1.57,CL,1667517052
177,keti bandar,24.1447,67.4497,26.19,70,0,4.47,PK,1667517053
178,nanortalik,60.1432,-45.2371,4.43,75,100,15.15,GL,1667517053
179,severo-kurilsk,50.6789,156.125,6.99,93,100,6.37,RU,1667517053
180,bastia,42.6667,9.3333,18.89,85,100,5.66,FR,1667517054
181,kitovo,56.8659,41.2825,0.28,88,99,1.88,RU,1667517054
182,nemuro,43.3236,145.575,6.45,57,57,3.48,JP,1667516507
